	Product Tracker						
							
	Product Name	Brand	Price	Image URL	Store URL	Affiliate Link	Color
1	Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/dAF38lOt_219a33faffeb4aa2b29a3aa0231a69b7.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589257/buy		browen
2	Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/NPNCH6c1_e723212f58f04c0eaf5fb4e6aa9416c2.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589892/buy		Blue
3	Men Classic Fit Solid Button-Down Collar Cotton Casual Shirt	U.S. Polo Assn.	1563	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/14/7Fh1eTRt_4a5147450a5743afb70d892897aa6a94.jpg	https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-men-classic-fit-solid-button-down-collar-cotton-casual-shirt/33589251/buy		green
4	Slim Fit Opaque Formal Shirt	Louis Philippe	Rs. 1699	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/TSl9TER3_d70a912cce1c4b478afdb9bdb7fa6c9d.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/30142193/buy		charcoal
5	Slim Fit Cotton Formal Shirt	Louis Philippe	Rs. 1663	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/wZeMZ67l_c1c236b49028456e9e12f5bb9ef78a93.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/33085486/buy		maroon/white
6	Pure Cotton Slim Formal Shirt	Louis Philippe	Rs. 1699	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/73Dho6Hh_e3af14e2553744d0a6debedeb69b9ff9.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/29919134/buy		Blue
7	Pure Cotton Slim Formal Shirt	Louis Philippe	Rs. 1649	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/APRIL/28/t6n73PWn_3a4c327e5398483abbb0da404cdcc95f.jpg	https://www.myntra.com/shirts/louis+philippe/men-slim-fit-easy-to-iron-premium-cotton-full-sleeve-formal-shirt/29919130/buy		White
8	Men Slim Fit Over Dyed Soft Handfeel Full Sleeve Casual Shirt	Louis Philippe	1349	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JANUARY/8/ydEXlJbx_4f2b31af3a4540c9b0a107ca40e78b15.jpg	https://www.myntra.com/shirts/louis+philippe+jeans/men-slim-fit-over-dyed-soft-handfeel-full-sleeve-casual-shirt/12848654/buy		White
9	Men Slim Fit Over Dyed Soft Handfeel Full Sleeve Casual Shirt	Louis Philippe	1439	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JUNE/12/xy95fzLt_58fef049cbf84a589018198d7c078e79.jpg	https://www.myntra.com/shirts/louis+philippe+jeans/men-slim-fit-over-dyed-soft-handfeel-full-sleeve-casual-shirt/14195386/buy		Black
