																	
	Product Tracker																
																	
	Product Name	Brand	Price	Image URL	Store URL	Affiliate Link	Color										
1	VEIRDO Beige Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/27/PlWRP3w4_0fc8ff8cacfb4d8f90548a88b4b0ff9a.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-beige-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761834/buy		Beige										
2	White Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/RyfxWy1l_22a89648c3e94d14a753d62fb5b4a50b.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-white-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761846/buy		White 										
3	Maroon Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/FuUSWMla_27962312c2ac416a94e813ecd9883c78.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-maroon-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761858/buy		maroon										
4	Men Black Solid Round Neck Relaxed Fit Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761860/2025/6/26/998924a9-a678-4b0d-8226-1b36e34ad3bf1750934357230-VEIRDO-Black-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-s-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-men-black-solid-round-neck-relaxed-fit-pure-cotton-oversized-t-shirt/27761860/buy		Black										
5	Mustard Yellow Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/SM6CUNby_e0dfb8da77694cfbb4840ca587a6423c.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-mustard-yellow-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761868/buy		mustard 				VEIRDO Beige Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/27/PlWRP3w4_0fc8ff8cacfb4d8f90548a88b4b0ff9a.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-beige-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761834/buy		Beige
6	Navy Blue Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761878/2025/4/11/cca0f294-6065-4794-8db5-9d48e89c55811744371847731-VEIRDO-Navy-Blue-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-navy-blue-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761878/buy		nevy Blue 				White Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/RyfxWy1l_22a89648c3e94d14a753d62fb5b4a50b.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-white-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761846/buy		White
7	Brown Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/LayPcREq_a8975a4c7b444f2faad5743b1babc1c3.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-brown-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761882/buy		brown 				Maroon Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/FuUSWMla_27962312c2ac416a94e813ecd9883c78.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-maroon-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761858/buy		maroon
