Men Oversized Demon Slayer Green Tshirts	The Souled Store	Rs 1,199.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/24/sILW5EFV_4eb32f90076a4f8b8eef30caaa86d3ed.jpg	https://www.myntra.com/tshirts/the+souled+store/the-souled-store-men-oversized-demon-slayer-green-tshirts/35932317/buy		Green
Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/16/n2YzIePv_22bf766e458247a2961e888f98509b43.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720666/buy		Green
Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/35720668/2025/7/29/9195d851-5bc8-4868-aa84-5fb9e98150fc1753794067116-Puma-Train-All-Day-Mens-Breathable-Training-Tee-490175379406-1.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720668/buy		Black
Meteor Black Polo T-Shirt	snitch	999	https://d2wbq7o4qxi60y.cloudfront.net/8351897878690/1-800.webp	https://www.snitch.com/men-t-shirts/meteor-black-polo-t-shirt/8351897878690/buy		Black
Meteor Navy Blue Polo T-Shirt	snitch	849	https://d2wbq7o4qxi60y.cloudfront.net/8351882969250/1-800.webp	https://www.snitch.com/men-t-shirts/meteor-black-polo-t-shirt/8351882969250/buy		Navy Blue
Sleek Striped Brown Polo T-Shirt	snitch	1199	https://d2wbq7o4qxi60y.cloudfront.net/8190909251746/1-800.webp	https://www.snitch.com/men-t-shirts/sleek-striped-brown-polo-t-shirt/8190909251746/buy		Brown
Men Slim Fit Collar Tipping & Arm Branding Half Sleeve Tshirt	Louis Philippe Jeans	1034	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/MARCH/4/Y69Gm8wZ_6c4548a089904ae681aa611b2b220f47.jpg	https://www.myntra.com/tshirts/louis+philippe+jeans/men-slim-fit-collar-tipping--arm-branding-half-sleeve-tshirt/23083552/buy		olive green
Men Slim Fit Collar Tipping & Arm Branding Half Sleeve Casual Tshirt	Louis Philippe Jeans	1049	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/FEBRUARY/4/HLXvQaCg_870d69830b944164b1f3c059aea6f0e5.jpg	https://www.myntra.com/tshirts/louis+philippe+jeans/men-slim-fit-collar-tipping--arm-branding-half-sleeve-casual-tshirt/23083570/buy		Rust
Men Slim Fit Collar Tipping & Arm Branding Half Sleeve Casual Tshirt	Louis Philippe Jeans	1034	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/MARCH/17/Pjx7fSCZ_891ce4fcc47f47c5961027cd4cac3bd2.jpg	https://www.myntra.com/tshirts/louis+philippe+jeans/men-slim-fit-collar-tipping--arm-branding-half-sleeve-casual-tshirt/23083574/buy		pink
Polo Collar Brand Logo Pure Cotton T-shirt	U.S. Polo Assn	1325	https://assets.myntassets.com/assets/images/2026/MAY/18/NoFBRKh7_2e71d80f8c274c3798fc275e9266d2fe.jpg?im=Crop,rect=(400,202,367,490)	https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-brand-logo-pure-cotton-t-shirt/41011785/buy		Light Blue
